,group
D11B212C,D_10
D11B18T,D_11
D11B24C,D_10
D11B16T,D_11
D11B28T,D_10
D11B28C,D_10
D11B28B,D_10
D11B26C,D_10
D11B212B,D_10
D11B210T,D_10
D11B16B,D_11
D11B110B,D_11
D11B112T,D_11
D11B14T,D_11
D11B18C,D_11
D11B14C,D_11
D11B112B,D_11
D11B26T,D_10
D11B18B,D_11
D11B210B,D_10
D11B212T,D_10
D11B110C,D_11
D11B112C,D_11
D11B210C,D_10
D11B16C,D_11
D11B110T,D_11
D11B26B,D_10
D11B14B,D_11
D12B28A,D_8
D12B210A,D_8
D12B112A,D_8
D12B18A,D_8
D12B23A,D_8
D12B110A,D_8
D12B212A,D_8
D12B14A,D_8
D12B24A,D_8
D12B16A,D_8
D12B13A,D_8
D12B26A,D_8
D13B23A,D_5
D13B14A,D_5
D13B16A,D_5
D13B24A,D_5
D13B13A,D_5
D13B26A,D_5
D14B23A,D_5
D14B24A,D_5
D14B14A,D_5
D14B13A,D_5